Name,Thickness (A),Relpermittivity,Z-Layer
FOX,3000,3.9,1
ILD,3100,4.2,2
IMD_1a,300,4.5,3
IMD_1b,1300,2.9,4
IMD_1c,500,5,5
IMD_1d,300,4.2,6
IMD_2a,950,2.9,7
IMD_2b,2200,2.9,8
IMD_2c,500,5,9
IMD_2d,300,4.2,10
IMD_3a,950,2.9,11
IMD_3b,2200,2.9,12
IMD_3c,500,5,13
IMD_3d,300,4.2,14
IMD_4a,950,2.9,15
IMD_4b,2200,2.9,16
IMD_4c,500,5,17
IMD_4d,300,4.2,18
IMD_5a,950,2.9,19
IMD_5b,2200,2.9,20
IMD_5c,500,5,21
IMD_5d,300,4.2,22
IMD_6a,950,2.9,23
IMD_6b,2200,2.9,24
IMD_6c,500,5,25
IMD_6d,300,4.2,26
IMD_7a,950,2.9,27
IMD_7b,2200,2.9,28
IMD_7c,500,5,29
IMD_8a,6200,4.2,30
IMD_8b,500,8.1,31
IMD_8c,7750,4.2,32
IMD_8d,750,8.1,33
IMD_9a,7250,4.2,34
IMD_9b,1100,8.1,35
IMD_9c,32300,4.2,36
PASS1,750,8.1,37
PASS2,4000,4.2,38
PASS3,750,8.1,39
PASS4,2500,4.2,40
PASS5,4000,4.2,41
PASS6,6000,8.1,42
