Name,Thickness,cond,Z-Layer,GDS,color
M1,180,0.16,590,31,sykblue
M2,220,0.1399,945,32,yellow
VIA1,0,0.1399,0,51,red
M3,220,0.1399,1340,33,ForestGreen
VIA2,0,0.1399,0,52,red
M4,220,0.1399,1735,34,gray
VIA3,0,0.1399,0,53,red
M5,220,0.1399,2130,35,DarkKhaki
VIA4,0,0.1399,0,54,red
M6,220,0.1399,2525,36,gray
VIA5,0,0.1399,0,55,red
M7,220,0.1399,2920,37,DarkKhaki
VIA6,0,0.1399,0,56,red
M8,900,0.022,3735,38,MediumSpringGreen
VIA7,0,0.1399,0,57,red
M9,3400,0.005,5230,39,green
VIA8,0,0.1399,0,58,red
AP,1450,0.021,9430,74,DarkKhaki
